Team/School,Sport,League,Stadium,Capacity,City,State,lat,lon
Oklahoma State University,Baseball,,O’Brate Stadium,3500,Stillwater,OK,36.1314993,-97.068942
G,Basketball,League,Adventist Health Arena,11193,Stockton,CA,,
University of the Pacific,Basketball,,Alex G. Spanos Center,5634,Stockton,CA,37.9766716,-121.315117
Ports,Baseball,California League,Banner Island Ballpark,5200,Stockton,CA,37.9549923,-121.2975308
Stony Brook University,Football,,Kenneth P. LaValle Stadium,12300,Stony Brook,NY,40.9187508,-73.1237019
Stony Brook University,Basketball,,Stony Brook Arena,4000,Stony Brook,NY,,
University of Connecticut,Basketball,,Gampel Pavilion,10244,Storrs,CT,41.8052875,-72.254402
Wolves,Hockey,OHL,Sudbury Community Arena,4854,Sudbury,ON,,
Space Cowboys,Baseball,PCL,Constellation Field,7500,Sugar Land,TX,29.6225797,-95.6469601
Florida Panthers,Hockey,NHL,Amerant Bank Arena,19250,Sunrise,FL,26.1583702,-80.3254289
Texas Rangers - Spring Training,Baseball,,Surprise Stadium,7500,Surprise,AZ,33.6281285,-112.378276
Cape Breton Eagles,Hockey,QMJHL,Centre 200,4920,Sydney,NS,,
Syracuse University,Football,,JMA Wireless Dome,42774,Syracuse,NY,43.0362837,-76.1363603
Mets,Baseball,IL,NBT Bank Stadium,11071,Syracuse,NY,43.0788137,-76.1647683
Crunch,Hockey,AHL,Upstate Medical Arena,6150,Syracuse,NY,,
High School Championship,Basketball,,Tacoma Dome,20722,Tacoma,WA,47.2368873,-122.4269522
Rainiers,Baseball,PCL,Cheney Stadium,6800,Tacoma,WA,47.2383139,-122.4976015
University of Puget Sound,Basketball,,Memorial Fieldhouse,5400,Tacoma,WA,47.2593917,-122.4812116
Northeastern State University,Football,,Doc Wadley Stadium,8300,Tahlequah,OK,35.9286213,-94.9678564
Florida State University,Football,,Doak Campbell Stadium,79560,Tallahassee,FL,30.438151,-84.3043924
Florida A&M University,Football,,Bragg Memorial Stadium,19633,Tallahassee,FL,30.4260785,-84.2917692
Florida State University,Basketball,,Donald L. Tucker Center,11500,Tallahassee,FL,30.437793,-84.2866888
Florida A&M University,Basketball,,Al Lawson Center,9639,Tallahassee,FL,,
Florida State University,Baseball,,Dick Howser Stadium,6700,Tallahassee,FL,30.4406204,-84.3038767
Buccaneers,Football,NFL,Raymond James Stadium,65890,Tampa,FL,27.9759793,-82.5033545
Lightning,Hockey,NHL,Benchmark International Arena,19204,Tampa,FL,27.942704,-82.4518903
Tarpons,Baseball,Florida State League,Steinbrenner Field,11000,Tampa,FL,27.9801645,-82.5066542
University of South Florida,Basketball,,Yuengling Center,10411,Tampa,FL,28.0592444,-82.4066241
Arizona State University,Football,,Mountain America Stadium,53599,Tempe,AZ,33.4263095,-111.932659
Arizona State University,Basketball,,Desert Financial Arena,14198,Tempe,AZ,33.4245079,-111.93101
Los Angeles Angels - Baseball,Spring Training,,Tempe Diablo Stadium,7015,Tempe,AZ,33.4010101,-111.9710608
Arizona State University,Hockey,,Mullett Arena,5000,Tempe,AZ,33.426643,-111.9284887
Indiana State University,Football,,Memorial Stadium,12764,Terre Haute,IN,39.474909,-87.3669917
Indiana State University,Basketball,,Hulman Center,9000,Terre Haute,IN,39.4685371,-87.405126
Norskies,Hockey,SIJHL,Ralph Engelstad Arena,3593,Thief River Falls,MN,48.1215669,-96.1919607
Nicholls State University,Football,,John L. Guidry Stadium,10500,Thibodaux,LA,,
Nicholls State University,Basketball,,David R. Stopher Gym,3800,Thibodaux,LA,,
University of Toledo,Football,,Glass Bowl,26038,Toledo,OH,41.6571514,-83.6135962
Mud Hens,Baseball,IL,Fifth Third Field,8943,Toledo,OH,41.6485293,-83.5385588
Walleye,Hockey,ECHL,Huntington Center,7389,Toledo,OH,41.6511072,-83.5367897
University of Toledo,Basketball,,Savage Arena,7014,Toledo,OH,41.6601307,-83.6100354
Scarecrows,Hockey,FPHL,Landon Arena,7773,Topeka,KS,39.0341533,-95.6859264
Blue Jays,Baseball,MLB,Rogers Centre,39150,Toronto,ON,,
Toronto FC,Soccer,MLS,BMO Field,30000,Toronto,ON,,
Maple Leafs,Hockey,NHL,Scotiabank Arena,18800,Toronto,ON,,
National Bank Open,Tennis,ATP,Sobeys Stadium,10876,Toronto,ON,,
Marlies,Hockey,AHL,Coca-Cola Coliseum,7851,Toronto,ON,,
Towson University,Football,,Johnny Unitas Stadium,11198,Towson,MD,39.3885483,-76.6158585
Towson University,Basketball,,SECU Arena,5200,Towson,MD,39.3873809,-76.6170993
Thunder,Baseball,Draft League,Trenton Thunder Ballpark,6440,Trenton,NJ,,
Eagles,Baseball,Frontier League,Quillorama Stadium,4500,Trois-Rivieres,QC,,
Lions,Hockey,ECHL,Videotron Coliseum,4500,Trois-Rivieres,QC,,
Troy University,Football,,Veterans Memorial Stadium,30000,Troy,AL,31.7996004,-85.9519633
Troy University,Basketball,,Trojan Arena,5200,Troy,AL,31.802287,-85.9524336
RPI,Hockey,,Houston Field House,4780,Troy,NY,42.7321286,-73.6695059
City ValleyCats,Baseball,Frontier League,Joseph L. Bruno Stadium,4500,Troy,NY,,
University of Arizona,Football,,Arizona Stadium,50800,Tucson,AZ,32.2288359,-110.9487796
University of Arizona,Basketball,,McKale Center,14688,Tucson,AZ,32.230448,-110.9459947
University of Arizona,Baseball,,Hi Corbett Field,9000,Tucson,AZ,32.212947,-110.9198453
Saguaros,Baseball,Pecos League,Kino Veterans Memorial Stadium,8000,Tucson,AZ,32.1767753,-110.9333097
Roadrunners,Hockey,AHL,Tucson Arena,6521,Tucson,AZ,32.2182875,-110.9737255
University of Tulsa,Football,,H.A. Chapman Stadium,30000,Tulsa,OK,,
Oilers,Hockey,ECHL,BOK Center,17096,Tulsa,OK,36.1526653,-95.9963745
Oral Roberts University,Basketball,,Mabee Center,8781,Tulsa,OK,36.04812,-95.9556507
University of Tulsa,Basketball,,Reynolds Center,8355,Tulsa,OK,36.1490016,-95.9421785
Drillers,Baseball,Texas League,ONEOK Field,7833,Tulsa,OK,36.1604483,-95.9880158
University of Alabama,Football,,Bryant-Denny Stadium,100077,Tuscaloosa,AL,33.2077203,-87.550453
University of Alabama,Basketball,,Coleman Coliseum,13474,Tuscaloosa,AL,33.2027042,-87.5397128
University of Alabama,Baseball,,Sewell-Thomas Stadium,5867,Tuscaloosa,AL,33.204971,-87.5385738
University of Alabama,,Volleyball,Foster Auditorium,3800,Tuscaloosa,AL,33.2076828,-87.5440017
Tuskegee University,Football,,Abbott Memorial Alumni Stadium,10000,Tuskegee,AL,32.4248657,-85.7053884
Tuskegee University,Basketball,,James Center,5000,Tuskegee,AL,32.4309468,-85.7104212
Connecticut Sun,Basketball,WNBA,Mohegan Sun Arena,9323,Uncasville,CT,41.4911078,-72.0897434
G,Basketball,League,Nassau Coliseum,13917,Uniondale,NY,40.7229344,-73.5907243
Long Island Rough Riders,Soccer,League 2,Mitchel Athletic Complex,10102,Uniondale,NY,40.7245411,-73.5979084
Comets,Hockey,AHL,Adirondack Bank Center,3917,Utica,NY,,
Valdosta State University,Football,,Bazemore-Hyder Stadium,10100,Valdosta,GA,30.8458259,-83.283858
Valdosta State University,Basketball,,The Complex,5350,Valdosta,GA,,
Valparaiso University,Basketball,,Athletics-Recreation Center,5000,Valparaiso,IN,41.4642539,-87.0483415
BC Lions,Football,CFL,BC Place,54500,Vancouver,BC,,
Canucks,Hockey,NHL,Rogers Arena,18865,Vancouver,BC,,
Canadians,Baseball,Northwest League,Nat Bailey Stadium,5132,Vancouver,BC,,
University of South Dakota,Football,,DakotaDome,9100,Vermillion,SD,42.791143,-96.9277485
University of South Dakota,Basketball,,Sanford Coyote Sports Center,6003,Vermillion,SD,42.7900965,-96.9278775
Binghamton University,Basketball,,Events Center,4421,Vestal,NY,42.0933917,-75.9719273
Royals,Hockey,WHL,Save-On-Foods Memorial Centre,6974,Victoria,BC,,
Villanova University,Football,,Villanova Stadium,12000,Villanova,PA,,
Villanova University,Basketball,,Finneran Pavilion,6501,Villanova,PA,,
Baylor University,Football,,McLane Stadium,45140,Waco,TX,31.558209,-97.1164472
Baylor University,,Volleyball,Ferrell Center,10284,Waco,TX,31.5479944,-97.105681
Baylor University,Basketball,,Foster Pavilion,7500,Waco,TX,31.5563786,-97.1212122
Baylor University,Baseball,,Baylor Ballpark,4000,Waco,TX,31.5512504,-97.1077111
S. Maryland Blue Crabs,Baseball,Atl. League,Regency Furniture Stadium,4200,Waldorf,MD,,
University of Central Missouri,Football,,Walton Stadium,12000,Warrensburg,MO,38.7587363,-93.7421602
University of Central Missouri,Football,,Multipurpose Building,6500,Warrensburg,MO,38.7573891,-93.7441536
Nationals,Baseball,MLB,Nationals Park,41546,Washington,DC,38.8727332,-77.0074815
D.C. United,Soccer,MLS,Audi Field,20000,Washington,DC,38.8682612,-77.0126092
Capitals,Hockey,NHL,Capital One Arena,18506,Washington,DC,38.8981883,-77.0209378
Citi Open,Tennis,ATP,Rock Creek Park Tennis Center,7500,Washington,DC,,
George Washington University,Basketball,,Charles E. Smith Center,4057,Washington,DC,38.8978142,-77.0493531
Bball - G,,League,CareFirst Arena,4200,Washington,DC,,
Iowa Woo,Indoor Football,The AL,The Hippodrome,5434,Waterloo,IA,42.5100391,-92.3738315
Bucks,Baseball,Northwoods League,Riverfront Stadium,5000,Waterloo,IA,42.5105351,-92.3542498
High School Championship,Basketball,,Watertown Civic Arena,4500,Watertown,SD,,
SW Oklahoma St University,Football,,Milam Stadium,8600,Weatherford,OK,35.5359609,-98.7108105
SW Oklahoma St University,Basketball,,Pioneer Cellular Event Center,3500,Weatherford,OK,35.5348349,-98.7110015
Wild,Hockey,WHL,Town Toyota Center,4300,Wenatchee,WA,47.4424608,-120.3221833
Des Moines Menace,Soccer,USL League Two,Valley Stadium,8000,West Des Moines,IA,41.56147,-93.7622259
University of Hartford,Basketball,,Chase Family Arena,3507,West Hartford,CT,41.8020127,-72.716352
Yale University,Baseball,,Bush Field,5000,West Haven,CT,,
Purdue University,Football,,Ross-Ade Stadium,61441,West Lafayette,IN,40.434568,-86.9184948
Purdue University,Basketball,,Mackey Arena,14876,West Lafayette,IN,40.433335,-86.9161712
Nationals,Baseball,,CACTI Park of the Palm Beaches,6500,West Palm Beach,FL,,
Monmouth University,Basketball,,OceanFirst Bank Center,4100,West Long Branch,NJ,40.2793627,-74.0076094
Army,Football,,Michie Stadium,30000,West Point,NY,41.3873021,-73.9642919
Army,Basketball,,Christl Arena,5043,West Point,NY,,
River Cats,Baseball,PCL,Sutter Health Park,11448,West Sacramento,CA,38.5803717,-121.5134097
Utah Grizzlies,Hockey,ECHL,Maverik Center,10207,West Valley City,UT,40.702787,-111.9505424
Nailers,Hockey,ECHL,WesBanco Arena,4700,Wheeling,WV,40.0647829,-80.7246232
University of Wisconsin - Whitewater,Football,,Perkins Stadium,13500,Whitewater,WI,42.8469937,-88.7449823
Thunder,Hockey,ECHL,INTRUST Bank Arena,13302,Wichita,KS,37.6833852,-97.3319986
Wichita State University,Basketball,,Charles Koch Arena,10506,Wichita,KS,37.7218238,-97.297425
Wichita State University,Baseball,,Eck Stadium,8153,Wichita,KS,37.7214559,-97.28874
Wind Surge,Baseball,Texas League,Equity Bank Park,7000,Wichita,KS,37.681864,-97.3453214
Midwestern State University,Football,,Memorial Stadium,14500,Wichita Falls,TX,33.8542025,-98.5825179
High School Championship,Basketball,,Kay Yeager Coliseum,6400,Wichita Falls,TX,33.9157538,-98.4977261
Midwestern State University,Basketball,,D.L. Ligon Coliseum,3640,Wichita Falls,TX,33.8718095,-98.5196306
Barre/Scranton Penguins,Hockey,AHL,Mohegan Arena,7500,Wilkes-Barre,PA,41.2405504,-75.8485335
College of William & Mary,Football,,Zable Stadium,11646,Williamsburg,VA,37.2729739,-76.7144
College of William & Mary,Basketball,,Kaplan Arena,8600,Williamsburg,VA,37.2734942,-76.7197211
Blue Rocks,Baseball,Sally League,Frawley Stadium,6404,Wilmington,DE,39.73265,-75.5643557
UNC Wilmington,Basketball,,Trask Coliseum,5122,Wilmington,NC,34.2249506,-77.8783466
UNC Wilmington,Basketball,,Brooks Field,3500,Wilmington,NC,34.2218891,-77.873377
Spitfires,Hockey,OHL,WFCU Centre,6450,Windsor,ON,,
Blue Bombers,Football,CFL,Princess Auto Stadium,33500,Winnipeg,MB,,
Jets,Hockey,NHL,Canada Life Center,15294,Winnipeg,MB,,
Goldeyes,Baseball,American Association,Blue Cross Park,7481,Winnipeg,MB,,
Salem (NC) - Wake Forest University,Football,,Allegacy Stadium,31500,Winston,,36.130554,-80.2546325
Salem (NC) - Winston Salem State University,Football,,Bowman Gray Stadium,15000,Winston,,36.0826466,-80.222069
Salem (NC) - Wake Forest University,Basketball,,Lawrence Joel Coliseum,14665,Winston,,36.1278331,-80.2578025
Dash,Baseball,South Atlantic League,Truist Stadium,5500,Winston-Salem,NC,36.0919115,-80.255059
Salem (NC) - Wake Forest University,Baseball,,David F. Couch Ballpark,3823,Winston,,36.1297606,-80.2522568
College of the Holy Cross,Football,,Fitton Field,23500,Worcester,MA,,
Railers,Hockey,ECHL,DCU Center,12135,Worcester,MA,42.2654896,-71.7988026
Red Sox,Baseball,IL,Polar Park,6000,Worcester,MA,42.2572686,-71.7999639
College of the Holy Cross,Basketball,,Hart Center,3536,Worcester,MA,42.2352216,-71.8057922
Blue Ridge Bobcats,Hockey,FPHL,Hitachi Energy Arena,3650,Wytheville,VA,,
High School Championship,Basketball,,Yakima Valley SunDome,5549,Yakima,WA,46.5891044,-120.4864911
Revolution,Baseball,Atlantic League,WellSpan Park,5200,York,PA,39.9679298,-76.7283987
Youngstown State University,Football,,Stambaugh Stadium,20630,Youngstown,OH,41.1094863,-80.6495505
Youngstown State University,Basketball,,Beeghly Center,4633,Youngstown,OH,41.1082465,-80.6490136
Phantoms,Hockey,USHL,Covelli Centre,5700,Youngstown,OH,41.0962373,-80.6478213
Eastern Michigan University,Football,,Rynearson Stadium,30200,Ypsilanti,MI,42.2558724,-83.6473747
Eastern Michigan University,Basketball,,George Gervin GameAbove Center,8754,Ypsilanti,MI,42.2542969,-83.6473661
Carolina Mudcats,Baseball,Carolina League,Five County Stadium,6500,Zebulon,NC,35.8158965,-78.2703691
Denver Summit FC,Soccer,NWLS,Centennial Stadium,10200,Centennial,CO,39.59587228389544,-104.9398720763269
Gotham FC,Soccer,NWLS,Sports Illustrated Stadium,25000,Harrison,NJ,40.736667,-74.150278
Chicago Stars FC,Soccer,NWLS,Northwestern Medicine Field at Martin Stadium,12023,Evanston,IL,42.05857265463253,-87.67054376912193
Denver Summit FC,Soccer,NWLS,Centennial Stadium,10200,Centennial,CO,39.59587228389544,-104.9398720763269
Gotham FC,Soccer,NWLS,Sports Illustrated Stadium,25000,Harrison,NJ,40.736667,-74.150278
Chicago Stars FC,Soccer,NWLS,Northwestern Medicine Field at Martin Stadium,12023,Evanston,IL,42.05857265463253,-87.67054376912193
