index,school,name,team,citystate,type,subdivision,conference,profile_url,logo,football_stadium,baseball_stadium,basketball_stadium,softball_stadium,soccer_stadium,volleyball_stadium,ice_hockey_stadium,other_stadiums,color_hex
Mercer University,Mercer,Bears,Macon,GA,Private,FCS,Southern Conference,https://en.wikipedia.org/wiki/Mercer_Bears,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Mercer_Bears_logo.svg/250px-Mercer_Bears_logo.svg.png,Tony and Nancy Moye Football and Lacrosse Complex,Claude Smith Field,Hawkins Arena,Sikes Field,Betts Stadium,,,,"['#CB5307', '#000000']"
Mercyhurst University,Mercyhurst,Lakers,Erie,PA,Private,FCS,Northeast Conference[FB 11][FB 11],https://en.wikipedia.org/wiki/Mercyhurst_Lakers,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Mercyhurst_logo_from_NCAA.svg/250px-Mercyhurst_logo_from_NCAA.svg.png,Saxon Stadium,Mercyhurst Baseball Field,,,,,,{'Arena': 'Mercyhurst Athletic Center'},"['#0F4F44', '#171E3A']"
Merrimack College,Merrimack,Warriors,North Andover,MA,Private,FCS,Metro Atlantic Athletic Conference[FB 10],https://en.wikipedia.org/wiki/Merrimack_Warriors,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Merrimack_Warriors.svg/250px-Merrimack_Warriors.svg.png,Duane Stadium,Warrior Baseball Diamond,Hammel Court/Lawler Arena,Martone-Mejail Field,Martone-Mejail Field,,Lawler Arena,{'Lacrosse stadium': 'Duane Stadium'},"['#003768', '#F1C400', '#FFFFFF']"
Miami University,Miami (Ohio),RedHawks,Oxford,OH,Public,FBS,Mid-American Conference,https://en.wikipedia.org/wiki/Miami_RedHawks,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Miami_Redhawks_logo.svg/250px-Miami_Redhawks_logo.svg.png,Yager Stadium,Stanley G. McKie Field at Joseph P. Hayden Jr. Park,Millett Hall,,,,,,"['#FFFFFF', '#B61E2E']"
Michigan State University,Michigan State,Spartans,East Lansing,MI,Public,FBS,Big Ten Conference,https://en.wikipedia.org/wiki/Michigan_State_Spartans,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Michigan_State_Athletics_logo.svg/250px-Michigan_State_Athletics_logo.svg.png,Spartan Stadium,Jeff Ishbia Field at McLane Stadium,Breslin Student Events Center,,,,,,"['#FFFFFF', '#173F35']"
Middle Tennessee State University,Middle Tennessee,Blue Raiders,Murfreesboro,TN,Public,FBS,Conference USA,https://en.wikipedia.org/wiki/Middle_Tennessee_Blue_Raiders,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Mt_blue_raiders_logo.png/250px-Mt_blue_raiders_logo.png,"Johnny ""Red"" Floyd Stadium",Reese Smith Jr. Field,Murphy Center,,Dean A. Hayes Stadium,,,,"['#0066CC', '#FFFFFF']"
Mississippi State University[N 7],Mississippi State,Bulldogs,Mississippi State,MS,Public,FBS,Southeastern Conference,https://en.wikipedia.org/wiki/Mississippi_State_Bulldogs,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Mississippi_State_Bulldogs_script_logo.svg/250px-Mississippi_State_Bulldogs_script_logo.svg.png,Davis Wade Stadium,Dudy Noble Field,Humphrey Coliseum,Nusz Park,,Newell–Grissom Building,,,"['#FFFFFF', '#5D1725']"
Mississippi Valley State University,Mississippi Valley State,Delta Devils[ai],Itta Bena[L 10],MS,Public,FCS,Southwestern Athletic Conference,https://en.wikipedia.org/wiki/Mississippi_Valley_State_Delta_Devils_and_Devilettes,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Mississippi_Valley_State_University_athletics_logo.svg/250px-Mississippi_Valley_State_University_athletics_logo.svg.png,Rice–Totten Stadium,Magnolia Field,Harrison HPER Complex,MVSU Softball Field,,Harrison HPER Complex,,,"['#046A38', '#FFFFFF']"
Missouri State University,Missouri State,Bears[aj],Springfield,MO,Public,FBS,Conference USA,https://en.wikipedia.org/wiki/Missouri_State_Bears_and_Lady_Bears,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Missouri_State_Athletics_logo.svg/250px-Missouri_State_Athletics_logo.svg.png,Robert W. Plaster Stadium,Hammons Field,Great Southern Bank Arena,,Allison South Stadium,,,,"['#5E0009', '#FFFFFF']"
Monmouth University,Monmouth,Hawks,West Long Branch,NJ,Private,FCS,Coastal Athletic Association[FB 6],https://en.wikipedia.org/wiki/Monmouth_Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Monmouth_Hawks.svg/250px-Monmouth_Hawks.svg.png,Kessler Stadium,Monmouth Baseball Field,OceanFirst Bank Center,,,,,,"['#041E42', '#FFFFFF']"
Montana State University,Montana State,Bobcats,Bozeman,MT,Public,FCS,Big Sky Conference,https://en.wikipedia.org/wiki/Montana_State_Bobcats,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Montana_State_Bobcats_logo.svg/250px-Montana_State_Bobcats_logo.svg.png,Bobcat Stadium,,Worthington Arena at Brick Breeden Fieldhouse,,,Shroyer Gymnasium,,,"['#BF995B', '#00205B']"
Morehead State University,Morehead State,Eagles,Morehead,KY,Public,FCS,Ohio Valley Conference[FB 12],https://en.wikipedia.org/wiki/Morehead_State_Eagles,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Morehead_State_Eagles_logo.svg/250px-Morehead_State_Eagles_logo.svg.png,Phil Simms Stadium,Allen Field,Ellis Johnson Arena,University Field,,,,,"['#FFCF00', '#005EB8']"
Morgan State University,Morgan State,Bears[aj],Baltimore,MD,Public,FCS,Mid-Eastern Athletic Conference,https://en.wikipedia.org/wiki/Morgan_State_Bears,https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Morgan_State_Bears_logo.svg/250px-Morgan_State_Bears_logo.svg.png,Hughes Stadium,,Talmadge L. Hill Field House,,,,,,"['#FF4E00', '#002D74']"
Mount Saint Mary's University,Mount St. Mary's,Mountaineers,Emmitsburg[L 11],MD,Private,Non-football,Metro Atlantic Athletic Conference,https://en.wikipedia.org/wiki/Mount_St._Mary%27s_Mountaineers,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Mt-st-marys_logo_from_NCAA.svg/250px-Mt-st-marys_logo_from_NCAA.svg.png,,Straw Family Stadium,Knott Arena,,,,,,"['#84754E', '#ffffff', '#002855']"
Murray State University,Murray State,Racers,Murray,KY,Public,FCS,Missouri Valley Conference[FB 9],https://en.wikipedia.org/wiki/Murray_State_Racers,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Murray_State_Racers_logo.svg/250px-Murray_State_Racers_logo.svg.png,Roy Stewart Stadium,Reagan Field,CFSB Center,,,,,,"['#ECAC00', '#002144']"
New Jersey Institute of Technology,NJIT,Highlanders,Newark,NJ,Public,Non-football,America East Conference,https://en.wikipedia.org/wiki/NJIT_Highlanders,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/NJIT_Highlanders_logo.svg/250px-NJIT_Highlanders_logo.svg.png,,Yogi Berra Stadium,Wellness and Events Center,,J. Malcolm Simon Stadium,,,,"['#CC0000', '#FFFFFF']"
New Mexico State University,New Mexico State,Aggies,Las Cruces,NM,Public,FBS,Conference USA,https://en.wikipedia.org/wiki/New_Mexico_State_Aggies,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/New_Mexico_State_Aggies_logo.svg/250px-New_Mexico_State_Aggies_logo.svg.png,Aggie Memorial Stadium,Presley Askew Field,Pan American Center,NM State Softball Complex,NM State Soccer Athletic Complex,,,,"['#7E141B', '#FFFFFF']"
Niagara University,Niagara,Purple Eagles,Niagara University[3],NY,Private,Non-football,Metro Atlantic Athletic Conference,https://en.wikipedia.org/wiki/Niagara_Purple_Eagles,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Niagara_Purple_Eagles_New_Logo.svg/250px-Niagara_Purple_Eagles_New_Logo.svg.png,,John P. Bobo Field,Gallagher Center,,Niagara Field,,Dwyer Arena,,"['#582C83', '#FFFFFF']"
Nicholls State University,Nicholls,Colonels,Thibodaux,LA,Public,FCS,Southland Conference,https://en.wikipedia.org/wiki/Nicholls_Colonels,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Nicholls_State_Colonels_logo.svg/250px-Nicholls_State_Colonels_logo.svg.png,Manning Field at John L. Guidry Stadium,Ben Meyer Diamond at Ray E. Didier Field,Stopher Gymnasium,Swanner Field at Geo Surfaces Park,Thibodaux Regional Sports Complex,,,,"['#B2B2B2', '#C41230']"
Norfolk State University,Norfolk State,Spartans,Norfolk,VA,Public,FCS,Mid-Eastern Athletic Conference,https://en.wikipedia.org/wiki/Norfolk_State_Spartans,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Norfork_State_Spartans_logo.svg/250px-Norfork_State_Spartans_logo.svg.png,Dick Price Stadium,Marty L. Miller Field,Echols Hall,,,,,,"['#007B5E', '#FAB80A']"
North Carolina Agricultural and Technical State University,North Carolina A&T,Aggies,Greensboro,NC,Public,FCS,Coastal Athletic Association[FB 6],https://en.wikipedia.org/wiki/North_Carolina_A%26T_Aggies,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/North_Carolina_A%26T_Aggies_logo.svg/250px-North_Carolina_A%26T_Aggies_logo.svg.png,Truist Stadium,War Memorial Stadium,Ellis F. Corbett Sports Center,,,,,,"['#004684', '#FDB927']"
North Carolina Central University,North Carolina Central,Eagles,Durham,NC,Public,FCS,Mid-Eastern Athletic Conference,https://en.wikipedia.org/wiki/North_Carolina_Central_Eagles,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/NCCU_Eagles_head_mark_logo.svg/250px-NCCU_Eagles_head_mark_logo.svg.png,O'Kelly-Riddick Stadium,Durham Athletic Park,McDougald-McLendon Gymnasium,,,,,,"['#862633', '#898D8D']"
North Carolina State University,NC State,Wolfpack,Raleigh,NC,Public,FBS,Atlantic Coast Conference,https://en.wikipedia.org/wiki/NC_State_Wolfpack,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/NC_State_Wolfpack_logo.svg/250px-NC_State_Wolfpack_logo.svg.png,Carter–Finley Stadium,Doak Field,"Lenovo Center (men)
Reynolds Coliseum (women)",Curtis & Jacqueline Dail Softball Stadium,Dail Soccer Field,,,,"['#CC0000', '#FFFFFF']"
North Dakota State University of Agriculture and Applied Sciences,North Dakota State,Bison,Fargo,ND,Public,FCS[C 5],Summit League[FB 13],https://en.wikipedia.org/wiki/North_Dakota_State_Bison,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/North_Dakota_State_Bison_logo.svg/250px-North_Dakota_State_Bison_logo.svg.png,Fargodome,Newman Outdoor Field,Scheels Center,Tharaldson Park,Dacotah Field,,,,"['#FFC82E', '#005643']"
Northeastern University,Northeastern,Huskies,Boston,MA,Private,Non-football,Coastal Athletic Association,https://en.wikipedia.org/wiki/Northeastern_Huskies,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Northeastern_Huskies_primary_logo.svg/250px-Northeastern_Huskies_primary_logo.svg.png,,Friedman Diamond,Cabot Center,,Parsons Field,,Various,,"['#000000', '#D41B2C']"
Northern Arizona University,Northern Arizona,Lumberjacks,Flagstaff,AZ,Public,FCS,Big Sky Conference,https://en.wikipedia.org/wiki/Northern_Arizona_Lumberjacks,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Northern_Arizona_Athletics_logo.svg/250px-Northern_Arizona_Athletics_logo.svg.png,Walkup Skydome,,Walkup Skydome,,Lumberjack Stadium,,,,
Northern Illinois University,Northern Illinois,Huskies,DeKalb,IL,Public,FBS,Mid-American Conference[C 7],https://en.wikipedia.org/wiki/Northern_Illinois_Huskies,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Northern_Illinois_Huskies_logo.svg/250px-Northern_Illinois_Huskies_logo.svg.png,Huskie Stadium,Ralph McKinzie Field,NIU Convocation Center,Mary M. Bell Field,NIU Soccer and Track & Field Complex,,,,"['#BA0C2F', '#27251F']"
Northern Kentucky University,Northern Kentucky,Norse,Highland Heights,KY,Public,Non-football,Horizon League,https://en.wikipedia.org/wiki/Northern_Kentucky_Norse,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Northern_Kentucky_Norse_logo.svg/250px-Northern_Kentucky_Norse_logo.svg.png,,Bill Aker Baseball Complex,Truist Arena,Frank Ignatius Grein Softball Field,Scudamore Field at NKU Soccer Stadium,,,,"['#FFC82E', '#000000', '#FFFFFF']"
Northwestern State University of Louisiana,Northwestern State,Demons[al],Natchitoches,LA,Public,FCS,Southland Conference,https://en.wikipedia.org/wiki/Northwestern_State_Demons_and_Lady_Demons,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Northwestern_State_Demons_logo.svg/250px-Northwestern_State_Demons_logo.svg.png,Harry Turpin Stadium,H. Alvin Brown–C. C. Stroud Field,Prather Coliseum,Lady Demon Diamond,Lady Demon Soccer Complex,,,,"['#F78426', '#FFFFFF', '#492F92']"
Northwestern University,Northwestern,Wildcats,Evanston,IL,Private,FBS,Big Ten Conference,https://en.wikipedia.org/wiki/Northwestern_Wildcats,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Northwestern_Wildcats_logo.svg/120px-Northwestern_Wildcats_logo.svg.png,"Martin Stadium (temporary)
Wrigley Field (selected games)
New Ryan Field (beginning Fall 2026)",,Welsh-Ryan Arena,,,,,,"['#4E2A84', '#FFFFFF']"
Oakland University,Oakland,Golden Grizzlies,Rochester[L 12],MI,Public,Non-football,Horizon League,https://en.wikipedia.org/wiki/Oakland_Golden_Grizzlies,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Oakland_Golden_Grizzlies_logo.svg/250px-Oakland_Golden_Grizzlies_logo.svg.png,,Oakland Baseball Field,OU Credit Union O'rena,Oakland Softball Field,,,,,"['#000000', '#B59A57']"
Oklahoma State University–Stillwater,Oklahoma State,Cowboys[ah],Stillwater,OK,Public,FBS,Big 12 Conference,https://en.wikipedia.org/wiki/Oklahoma_State_Cowboys_and_Cowgirls,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Oklahoma_State_University_system_logo.svg/250px-Oklahoma_State_University_system_logo.svg.png,Boone Pickens Stadium,O'Brate Stadium,Gallagher-Iba Arena,Cowgirl Stadium,,,,,"['#FE5C00', '#000000']"
Old Dominion University,Old Dominion,Monarchs,Norfolk,VA,Public,FBS,Sun Belt Conference,https://en.wikipedia.org/wiki/Old_Dominion_Monarchs,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Old_Dominion_Athletics_logo_wordmark.svg/250px-Old_Dominion_Athletics_logo_wordmark.svg.png,S.B. Ballard Stadium,Bud Metheny Ballpark,Chartway Arena,,Old Dominion Soccer Complex,ODU Volleyball Center,,,"['#A1D0F0', '#003767', '#95999C']"
Oral Roberts University,Oral Roberts,Golden Eagles,Tulsa,OK,Private,Non-football,Summit League,https://en.wikipedia.org/wiki/Oral_Roberts_Golden_Eagles,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Oral_Roberts_Golden_Eagles_logo.svg/250px-Oral_Roberts_Golden_Eagles_logo.svg.png,,J. L. Johnson Stadium,Mabee Center,,,,,,"['#DAC792', '#002462', '#FFFFFF']"
Oregon State University,Oregon State,Beavers,Corvallis,OR,Public,FBS,Pac-12 Conference[O 2],https://en.wikipedia.org/wiki/Oregon_State_Beavers,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Oregon_State_Beavers_logo.svg/250px-Oregon_State_Beavers_logo.svg.png,"Reser Stadium
Providence Park",Goss Stadium at Coleman Field,Gill Coliseum,Kelly Field,Paul Lorenz Field at Patrick Wayne Valley Stadium,,,,"['#D73F09', '#000000']"
Pepperdine University,Pepperdine,Waves,Malibu[L 13],CA,Private,Non-football,West Coast Conference,https://en.wikipedia.org/wiki/Pepperdine_Waves,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Pepperdine_Waves_logo.svg/250px-Pepperdine_Waves_logo.svg.png,,Eddy D. Field Stadium,Firestone Fieldhouse,,Tari Frahm Rokus Field,Firestone Fieldhouse,,,"['#00205C', '#FFFFFF', '#EE7624']"
Portland State University,Portland State,Vikings,Portland,OR,Public,FCS,Big Sky Conference,https://en.wikipedia.org/wiki/Portland_State_Vikings,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Portland_State_Vikings_logo.svg/120px-Portland_State_Vikings_logo.svg.png,Hillsboro Stadium,,Viking Pavilion,Gordon Faber Recreation Complex,Hillsboro Stadium,,,,"['#A5ACAF', '#FFFFFF', '#154734']"
Prairie View A&M University,Prairie View A&M,Panthers[an],Prairie View,TX,Public,FCS,Southwestern Athletic Conference,https://en.wikipedia.org/wiki/Prairie_View_A%26M_Panthers_and_Lady_Panthers,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Prairie_view_univ_athletics_textlogo.png/250px-Prairie_view_univ_athletics_textlogo.png,Panther Stadium at Blackshear Field,John W. Tankersley Field[2],William Nicks Building,Lady Panthers Softball Stadium,,William Nicks Building,,,"['#4F2582', '#FEC325']"
Presbyterian College,Presbyterian,Blue Hose,Clinton,SC,Private,FCS,Big South Conference[FB 12],https://en.wikipedia.org/wiki/Presbyterian_Blue_Hose,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Presbyterian_College_logo.svg/250px-Presbyterian_College_logo.svg.png,Bailey Memorial Stadium,PC Baseball Complex,Ross E. Templeton Center,PC Softball Complex,Edens Field at Martin Stadium,,,,"['#9D2235', '#0060A9']"
Princeton University,Princeton,Tigers,Princeton,NJ,Private,FCS,Ivy League,https://en.wikipedia.org/wiki/Princeton_Tigers,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Princeton_Tigers_logo.svg/120px-Princeton_Tigers_logo.svg.png,Princeton Stadium,Bill Clarke Field,Jadwin Gymnasium,Cynthia Lynn Paul '94 Field,Roberts Stadium,Jadwin Gymnasium,Baker Rink,{'Lacrosse stadium': 'Class of 1952 Stadium'},"['#000000', '#FF6000']"
Providence College,Providence,Friars,Providence,RI,Private,Non-football,Big East Conference,https://en.wikipedia.org/wiki/Providence_Friars,https://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Providence_Friars_logo.svg/250px-Providence_Friars_logo.svg.png,,,Amica Mutual Pavilion,Glay Field,Chapey Field at Anderson Stadium,,Schneider Arena,{'Lacrosse stadium': 'Chapey Field at Anderson Stadium'},"['#000000', '#FFFFFF', '#8A8D8F']"
Purdue University,Purdue,Boilermakers,West Lafayette,IN,Public,FBS,Big Ten Conference,https://en.wikipedia.org/wiki/Purdue_Boilermakers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/250px-Purdue_Boilermakers_logo.svg.png,Ross–Ade Stadium,Alexander Field,Mackey Arena,Bittinger Stadium,Folk Field,,,,"['#CFB991', '#000000']"
Purdue University Fort Wayne,Purdue Fort Wayne,Mastodons,Fort Wayne,IN,Public,Non-football,Horizon League,https://en.wikipedia.org/wiki/Purdue_Fort_Wayne_Mastodons,,,,Hilliard Gates Sports Center,,Hefner Soccer Complex,,,,"['#000000', '#C28E0E']"
Queens University of Charlotte,Queens (NC),Royals,Charlotte,NC,Private,Non-football,Atlantic Sun Conference,https://en.wikipedia.org/wiki/Queens_Royals,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Queens_univ_athletics_logo_2023.png/250px-Queens_univ_athletics_logo_2023.png,,Stick Williams Dream Baseball Field,Curry Arena,Stick Williams Dream Softball Field,Sports Complex at Marion Diehl Park,,,,"['#A89968', '#FFFFFF', '#00205B']"
Quinnipiac University,Quinnipiac,Bobcats,Hamden,CT,Private,Non-football,Metro Atlantic Athletic Conference,https://en.wikipedia.org/wiki/Quinnipiac_Bobcats,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Quinnipiac_Bobcats_logo.svg/250px-Quinnipiac_Bobcats_logo.svg.png,,Quinnipiac Baseball Field,M&T Bank Arena,,Quinnipiac Soccer Stadium,,M&T Bank Arena,,"['#0A2240', '#FFB819', '#FFFFFF']"
Radford University,Radford,Highlanders,Radford,VA,Public,Non-football,Big South Conference,https://en.wikipedia.org/wiki/Radford_Highlanders,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Radford_Highlanders_logo.svg/250px-Radford_Highlanders_logo.svg.png,,Carter Memorial Stadium,Dedmon Center,Radford Softball Stadium,Patrick D. Cupp Stadium,Dedmon Center,,,"['#D1D3D4', '#FFFFFF', '#C2011B']"
Rider University,Rider,Broncs,Lawrenceville,NJ,Private,Non-football,Metro Atlantic Athletic Conference,https://en.wikipedia.org/wiki/Rider_Broncs,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Rider_Broncs.svg/250px-Rider_Broncs.svg.png,,Sonny Pittaro Field,Alumni Gymnasium,,,,,,"['#981E32', '#FFFFFF', '#6C6F70']"
Robert Morris University,Robert Morris,Colonials,Moon,PA,Private,FCS,Horizon League[FB 14],https://en.wikipedia.org/wiki/Robert_Morris_Colonials,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/RMU_Colonials_logo.svg/250px-RMU_Colonials_logo.svg.png,Joe Walton Stadium,,UPMC Events Center,North Athletic Complex,North Athletic Complex,,Clearview Arena,{'Lacrosse stadium': 'Joe Walton Stadium'},"['#001E41', '#AA182C', '#FFFFFF']"
Rutgers University–New Brunswick,Rutgers,Scarlet Knights,New Brunswick[L 14],NJ,Public,FBS,Big Ten Conference,https://en.wikipedia.org/wiki/Rutgers_Scarlet_Knights,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Rutgers_Scarlet_Knights_logo.svg/250px-Rutgers_Scarlet_Knights_logo.svg.png,SHI Stadium,Bainton Field,Jersey Mike's Arena,,Yurcak Field,,,,['#CC0033']
Sacred Heart University,Sacred Heart,Pioneers,Fairfield,CT,Private,FCS,Metro Atlantic Athletic Conference[FB 10],https://en.wikipedia.org/wiki/Sacred_Heart_Pioneers,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Sacred_Heart_Pioneers_logo.svg/250px-Sacred_Heart_Pioneers_logo.svg.png,Campus Field,Veterans Memorial Park,William H. Pitt Center,,,,Martire Family Arena,,"['#CD1041', '#FFFFFF']"
Saint Bonaventure University,St. Bonaventure,Bonnies,Saint Bonaventure,NY,Private,Non-football,Atlantic 10 Conference,https://en.wikipedia.org/wiki/St._Bonaventure_Bonnies,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/St_bona_bonnies_logo.png/250px-St_bona_bonnies_logo.png,,Fred Handler Park at McGraw-Jennings Field,Reilly Center,,Tom and Michelle Marra Athletics Field Complex,,,{'Lacrosse stadium': 'Tom and Michelle Marra Athletics Field Complex'},"['#4E3227', '#FFFFFF']"
Saint Francis University[C 8],Saint Francis (PA),Red Flash,Loretto,PA,Private,FCS,NEC,https://en.wikipedia.org/wiki/Saint_Francis_Red_Flash,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Saint_Francis_Red_Flash_logo.svg/250px-Saint_Francis_Red_Flash_logo.svg.png,DeGol Field,,DeGol Arena,,,,,,"['#FFFFFF', '#BD1F25']"
Saint John's University,St. John's,Red Storm,Queens,NY,Private,Non-football,Big East Conference,https://en.wikipedia.org/wiki/St._John%27s_Red_Storm,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/St._John%27s_Red_Storm_logo.svg/120px-St._John%27s_Red_Storm_logo.svg.png,,Jack Kaiser Stadium,"Carnesecca Arena, Madison Square Garden UBS Arena",Red Storm Field,,,,,"['#C3002F', '#FFFFFF']"
Saint Joseph's University,Saint Joseph's,Hawks,Philadelphia[L 15],PA,Private,Non-football,Atlantic 10 Conference,https://en.wikipedia.org/wiki/Saint_Joseph%27s_Hawks,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Saint_Joseph%27s_Hawks_logo.svg/250px-Saint_Joseph%27s_Hawks_logo.svg.png,,John W. Smithson Field,Hagan Arena,,Sweeney Field,,,,"['#9E1B32', '#6C6F70']"
Saint Louis University,Saint Louis,Billikens,Saint Louis,MO,Private,Non-football,Atlantic 10 Conference,https://en.wikipedia.org/wiki/Saint_Louis_Billikens,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Saint_Louis_Billikens_logo.svg/250px-Saint_Louis_Billikens_logo.svg.png,,Billiken Sports Center,Chaifetz Arena,,Robert R. Hermann Stadium,,,,
Saint Mary's College of California,Saint Mary's,Gaels,Moraga,CA,Private,Non-football,West Coast Conference,https://en.wikipedia.org/wiki/Saint_Mary%27s_Gaels,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Saint_Mary%27s_College_Gaels_logo.svg/250px-Saint_Mary%27s_College_Gaels_logo.svg.png,Saint Mary's Stadium,Louis Guisto Field,University Credit Union Pavilion,Cottrell Field,,University Credit Union Pavilion,,,"['#D80024', '#06315B', '#8A8D8F']"
Saint Peter's University,Saint Peter's,Peacocks,Jersey City,NJ,Private,Non-football,Metro Atlantic Athletic Conference,https://en.wikipedia.org/wiki/Saint_Peter%27s_Peacocks,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Saint_Peter%27s_Peacocks_logo.svg/250px-Saint_Peter%27s_Peacocks_logo.svg.png,,Joseph J. Jaroschak Field,Run Baby Run Arena,,Joseph J. Jaroschak Field,,,,"['#003C71', '#FFFFFF']"
Sam Houston State University,Sam Houston,Bearkats,Huntsville,TX,Public,FBS,Conference USA,https://en.wikipedia.org/wiki/Sam_Houston_Bearkats,https://upload.wikimedia.org/wikipedia/en/thumb/d/de/SHSU_athletics_logo.svg/250px-SHSU_athletics_logo.svg.png,Bowers Stadium,Don Sanders Stadium,Johnson Coliseum,Bearkat Softball Complex,Pritchett Field,,,,"['#FFFFFF', '#F56423']"
Samford University,Samford,Bulldogs,Homewood,AL,Private,FCS,Southern Conference,https://en.wikipedia.org/wiki/Samford_Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Samford_Bulldogs_logo.svg/250px-Samford_Bulldogs_logo.svg.png,Pete Hanna Stadium,Joe Lee Griffin Stadium,Pete Hanna Center,,,,,,"['#BA0C2F', '#0C2340']"
San Diego State University,San Diego State,Aztecs,San Diego,CA,Public,FBS,Mountain West Conference[C 3],https://en.wikipedia.org/wiki/San_Diego_State_Aztecs,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/San_Diego_State_Aztecs_logo.svg/250px-San_Diego_State_Aztecs_logo.svg.png,Snapdragon Stadium,Tony Gwynn Stadium,Viejas Arena,SDSU Softball Stadium,SDSU Sports Deck,Peterson Gymnasium,,,"['#000000', '#C41230']"
San Jose State University,San Jose State,Spartans,San Jose,CA,Public,FBS,Mountain West Conference,https://en.wikipedia.org/wiki/San_Jose_State_Spartans,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/San_Jose_State_Spartans_logo.svg/250px-San_Jose_State_Spartans_logo.svg.png,CEFCU Stadium,Excite Ballpark,Provident Credit Union Event Center,Spartan Softball Stadium,Spartan Soccer Complex,,,,"['#0038A8', '#FFB81A', '#FFFFFF']"
Santa Clara University,Santa Clara,Broncos,Santa Clara,CA,Private,Non-football,West Coast Conference,https://en.wikipedia.org/wiki/Santa_Clara_Broncos,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Santa_Clara_Broncos_logo.svg/120px-Santa_Clara_Broncos_logo.svg.png,,Stephen Schott Stadium,Leavey Center,Santa Clara Softball Stadium,Stevens Stadium,Leavey Center,,,"['#862633', '#FFFFFF']"
