col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,photo_url,jersey_number,hometown,nationality,nba_status
Alton Hamilton,F,6-8,235,Eastern Washington,Jr,-,Rancho Cucamonga (CA),Etiwanda High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hamilton_Alton_ewu25.jpg,13.0,"Rancho Cucamonga, California",United States,Draft Eligible in 2027
Caedin Hamilton,F,6-9,250,Marquette,So,-,Santa Maria (CA),St. Joseph High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hamilton_Caedin_marq23.jpg,18.0,"Santa Maria, California",United States,Draft Eligible in 2028
Jelani Hamilton,F,6-5,210,Georgia State,So,-,Austell (GA),Joseph Wheeler High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hamilton_Jelani_isu23.jpg,10.0,"Austell, Georgia",United States,Draft Eligible in 2028
Jordan Hamilton,F,6-6,225,Texas Southern,Sr,-,Memphis (TN),Tennessee Prep Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hamilton_Jordan_siu24.jpg,13.0,"Memphis, Tennessee",United States,Draft Eligible in 2026
Kimani Hamilton,F,6-8,225,UNLV,Sr,"Dec 16, 2003",Clinton (MS),Clinton High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hamilton_Kimani_msst22.jpg,2.0,"Clinton, Mississippi",United States,Draft Eligible in 2026
Omari Hamilton,F,6-6,195,Alcorn State,Sr,-,Lawrenceville (GA),Dacula High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hamilton_Omari_alc25.jpg,12.0,"Lawrenceville, Georgia",United States,Draft Eligible in 2026
Tai Hamilton,C,6-10,200,Winthrop,Jr,-,Charlotte (NC),N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hamilton_Tai_wm23.jpg,21.0,"Charlotte, North Carolina",United States,Draft Eligible in 2027
Jahmari Hamilton-Brown,F,6-7,215,Arkansas-Pine Bluff,Jr,-,Malden (MA),Malden Catholic High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Halmiltonbrown_Jahmari_uapb25.jpg,8.0,"Malden, Massachusetts",United States,Draft Eligible in 2027
"Buddy Hammer, Jr.",F,6-7,210,North Texas,Jr,-,Westville (OK),Westville High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/229440.png,23.0,"Westville, Oklahoma",United States,Draft Eligible in 2027
Ben Hammond,G,5-11,170,Virginia Tech,So,-,Fairfax (VA),St. Paul VI High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hammond_Ben_vt24.jpg,3.0,"Fairfax, Virginia",United States,Draft Eligible in 2028
Christian Hammond,G,6-4,190,Santa Clara,So,-,Denver (CO),Dream City Christian School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hammond_Christian_scu23.jpg,1.0,"Denver, Colorado",United States,Draft Eligible in 2028
Jacob Hammond,F,6-6,220,Princeton,Fr,-,Whitby (ON),IMG Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/217599.png,24.0,"Whitby, Canada",Canada,Draft Eligible in 2029
Josiah Hammons,G,6-2,185,Illinois-Chicago,Sr,-,Chicago (IL),Curie Metropolitan High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hammons_Josiah_uiw23.jpg,10.0,"Chicago, Illinois",United States,Draft Eligible in 2026
Zee Hamoda,F,6-7,180,Nicholls State,Sr,"Jan 20, 2002",Riffa,Bridgton Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hamoda_Zee_utst21.jpg,24.0,"Riffa, Bahrain",Bahrain,Draft Eligible in 2026
Jalen Hampton,G,6-7,200,Arkansas State,Sr,-,St. Louis (MO),Link Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hampton_Jalen_nws22.jpg,12.0,"St. Louis, Missouri",United States,Draft Eligible in 2026
Kellen Hampton,F,6-7,205,Pacific,Fr,-,Castaic (CA),Moreau Catholic High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/217387.png,13.0,"Castaic, California",United States,Draft Eligible in 2029
"Donald Hand, Jr.",GF,6-5,210,Boston College,Jr,-,Virginia Beach (VA),Landstown High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hand_Donald_bc22.jpg,13.0,"Virginia Beach, Virginia",United States,Draft Eligible in 2027
Micah Handlogten,C,7-1,255,Florida,Sr,"Dec 17, 2003",Huntersville (NC),SouthLake Christian Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Handoglen_Micah_mar22.jpg,3.0,"Huntersville, North Carolina",United States,Draft Eligible in 2026
Will Hanke,GF,6-4,210,Louisville,Fr,-,Louisville (KY),St. Xavier High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/250431.png,33.0,"Louisville, Kentucky",United States,Draft Eligible in 2029
Daniel Hankins-Sanford,C,6-8,236,Massachusetts,Sr,-,Charlotte (NC),Julius L. Chambers High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hankinssanford_Daniel_usc23.jpg,1.0,"Charlotte, North Carolina",United States,Draft Eligible in 2026
Justice Hanna,G,6-0,160,New Haven,Fr,-,Meriden (CT),Kingswood-Oxford School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hanna_Justice_nh25.jpg,6.0,"Meriden, Connecticut",United States,Draft Eligible in 2029
Davion Hannah,F,6-6,175,Alabama,Fr,-,Milwaukee (WI),Link Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/200426.png,4.0,"Milwaukee, Wisconsin",United States,Draft Eligible in 2029
JaVaughn Hannah,G,6-3,200,San Jose State,Sr,-,Ypsilanti (MI),Ypsi Prep Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hannah_JaVaughn_wmu22.jpg,2.0,"Ypsilanti, Michigan",United States,Draft Eligible in 2026
Amani Hansberry,FC,6-8,240,Virginia Tech,Jr,-,Baltimore (MD),Mount Saint Joseph College,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hansberry_Amani_il23.jpg,13.0,"Baltimore, Maryland",United States,Draft Eligible in 2027
David Hansen,F,6-9,200,Weber State,Fr,-,Magrath,Magrath High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hansen_David_web24.jpg,33.0,"Magrath, Canada",Canada,Draft Eligible in 2029
Jake Hansen,G,6-0,170,Oklahoma,Fr,-,Milwaukee (WI),Wauwatosa West High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/249628.png,0.0,"Milwaukee, Wisconsin",United States,Draft Eligible in 2029
"Maurio Hanson, Jr.",F,6-7,200,Maryland-Eastern Shore,So,-,Charlotte (NC),Julius L. Chambers High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hanson_Mauricio_rmu24.jpg,31.0,"Charlotte, North Carolina",United States,Draft Eligible in 2028
C.J. Happy,FC,6-9,226,Princeton,So,-,Sterling (MA),Milton Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Happy_CJ_prin24.jpg,4.0,"Sterling, Massachusetts",United States,Draft Eligible in 2028
Adam Harakow,F,6-7,215,Wyoming,Jr,-,Calgary,Western Canada Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harakow_Adam_wy25.jpg,13.0,"Calgary, Canada",Canada,Draft Eligible in 2027
Jalen Haralson,F,6-7,210,Notre Dame,Fr,"Apr 30, 2007",Fishers (IN),La Lumiere School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/202282.png,10.0,"Fishers, Indiana",United States,Draft Eligible in 2029
Jake Harbatkin,G,6-3,185,Stony Brook,Fr,-,West Palm Beach (FL),Olympic Heights High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/250740.png,11.0,"West Palm Beach, Florida",United States,Draft Eligible in 2029
Ashton Hardaway,F,6-8,210,Memphis,Jr,"Jul 21, 2004",Dallas (TX),Sierra Canyon School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hardaway_Ashton_mem23.jpg,3.0,"Dallas, Texas",United States,Draft Eligible in 2027
Brady Hardewig,G,6-2,190,West Georgia,So,-,Cincinnati (OH),Turpin High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hardewig_Brady_uwg24.jpg,1.0,"Cincinnati, Ohio",United States,Draft Eligible in 2028
Brock Harding,G,6-0,160,TCU,Jr,-,Moline (IL),Moline High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harding_Brock_ia23.jpg,2.0,"Moline, Illinois",United States,Draft Eligible in 2027
Erich Harding,C,6-10,222,Marshall,So,-,Charlotte (NC),COMBINE Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harding_Erich_mar24.jpg,11.0,"Charlotte, North Carolina",United States,Draft Eligible in 2028
Hunter Harding,C,7-1,255,Indiana State,So,-,Toronto (ON),Royal Crown Academic School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harding_Hunter_cmu23.jpg,7.0,"Toronto, Canada",Canada,Draft Eligible in 2028
Markus Harding,C,6-10,250,Indiana State,Sr,-,Toronto (ON),Toronto Basketball Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harding_Markus_cmu22.jpg,11.0,"Toronto, Canada",Canada,Draft Eligible in 2026
Bowen Hardman,SG,6-3,190,Akron,Jr,-,Cincinnati (OH),Princeton High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hardman_Bowen_osu22.jpg,15.0,"Cincinnati, Ohio",United States,Draft Eligible in 2027
Brandon Hardy,G,6-3,190,Southern,Jr,-,Zachary (LA),Zachary High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hardy_Brandon_la23.jpg,4.0,"Zachary, Louisiana",United States,Draft Eligible in 2027
C.J. Hardy,G,6-3,175,Cal State Bakersfield,Sr,-,Gardena (CA),N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hardy_CJ_csub24.jpg,0.0,"Gardena, California",United States,Draft Eligible in 2026
Chuck Hare,C,6-10,235,Holy Cross,So,-,Shelton (CT),Kingswood-Oxford School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hare_Chuck_hc24.jpg,22.0,"Shelton, Connecticut",United States,Draft Eligible in 2028
Eyal Harel,F,6-7,195,Pacific,Fr,"Feb 2, 2004",Hod HaSharon,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/201169.png,17.0,"Hod HaSharon, Israel",Israel,Draft Eligible in 2029
Barrington Hargress,G,6-0,195,Colorado,Jr,"Jan 28, 2003",Los Angeles (CA),Ribet Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hargress_Barrington_ucr23.jpg,24.0,"Los Angeles, California",United States,Draft Eligible in 2027
Cole Hargrove,F,6-8,245,Providence,Sr,"Apr 13, 2004",Norristown (PA),Methacton High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hargrove_Cole_drex22.jpg,13.0,"Norristown, Pennsylvania",United States,Draft Eligible in 2026
Boston Harker,F,6-4,205,Utah Tech,Jr,-,Raymond,Edge School for Athletes,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/211827.png,3.0,"Raymond, Canada",Canada,Draft Eligible in 2027
Christian Harmon,F,6-6,N/A,Arkansas State,Jr,-,Rochester (NY),N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/230264.png,5.0,"Rochester, New York",United States,Draft Eligible in 2027
Travis Harper II,F,6-6,190,Tennessee State,Sr,-,Columbus (GA),St. Anne-Pacelli Catholic School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harper_Travis_tnst24.jpg,2.0,"Columbus, Georgia",United States,Draft Eligible in 2026
Will Harper III,F,6-4,210,Richmond,Fr,-,Washington (DC),Gonzaga College High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/209657.png,11.0,"Washington, District of Columbia",United States,Draft Eligible in 2029
Blake Harper,G,6-8,210,Creighton,So,"Sep 30, 2005",Washington (DC),Gonzaga College High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harper_Blake_how24.jpg,2.0,"Washington, District of Columbia",United States,Draft Eligible in 2028
J.J. Harper,G,6-5,200,Liberty,Sr,-,Orlando (FL),Lake Nona High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/192880.png,9.0,"Orlando, Florida",United States,Draft Eligible in 2026
Jalen Harper,G,6-4,190,Rhode Island,Fr,-,Philadelphia (PA),Saint Joseph's Preparatory School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/198555.png,7.0,"Philadelphia, Pennsylvania",United States,Draft Eligible in 2029
Jaziah Harper,GF,6-7,205,Maryland,Fr,-,Oak Park (IL),Bosco Institute,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harper_Jaziah_md25.jpg,15.0,"Oak Park, Illinois",United States,Draft Eligible in 2029
"Michael Harper, Jr.",G,6-3,N/A,Jacksonville,Fr,-,Jasper (FL),Hamilton County High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harper_Michael_ju25.jpg,9.0,"Jasper, Florida",United States,Draft Eligible in 2029
Ty Harper,G,6-3,175,Oral Roberts,Sr,"Oct 7, 2001",Covington (GA),Golden State Preparatory School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harper_Ty_la20.jpg,1.0,"Covington, Georgia",United States,Draft Eligible in 2026
Isaac Harrell,PF,6-8,195,Elon,Jr,-,Jonesboro (AR),Jonesboro High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harrell_Isaac_elon23.jpg,12.0,"Jonesboro, Arkansas",United States,Draft Eligible in 2027
Jaylen Harrell,F,6-5,210,Providence,Fr,"Jan 20, 2006",Boston (MA),"Cambridge Arts, Technology and Science High School",https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/186439.png,4.0,"Boston, Massachusetts",United States,Draft Eligible in 2029
Elzie Harrington,F,6-5,190,San Diego State,Fr,"Dec 6, 2005",Bellflower (CA),St. John Bosco High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/199665.png,3.0,"Bellflower, California",United States,Draft Eligible in 2029
Carlos Harris III,G,6-2,180,Illinois-Chicago,Fr,-,Chicago (IL),Curie Metropolitan High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Carlos_ilchi24.jpg,3.0,"Chicago, Illinois",United States,Draft Eligible in 2029
Brit Harris,G,6-5,170,Florida International,Sr,-,Portage (IN),Bosco Institute,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Brit_uscu24.jpg,1.0,"Portage, Indiana",United States,Draft Eligible in 2026
Bryce Harris,F,6-4,220,Howard,Sr,-,Brentwood (NY),Putnam Science Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Bryce_how21.jpg,34.0,"Brentwood, New York",United States,Draft Eligible in 2026
Chaze Harris,GF,6-6,175,South Alabama,Sr,-,Bedford (OH),Bedford High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/195613.png,2.0,"Bedford, Ohio",United States,Draft Eligible in 2026
Dante Harris,G,6-0,170,Tennessee State,Sr,-,Washington (DC),Lakeway Christian Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Dante_hoyas20.jpg,10.0,"Washington, District of Columbia",United States,Draft Eligible in 2026
Darren Harris,G,6-5,195,Duke,So,"Aug 16, 2005",Fairfax (VA),St. Paul VI High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Darren_duke24.jpg,8.0,"Fairfax, Virginia",United States,Draft Eligible in 2028
Dominick Harris,SG,6-3,190,Loyola (IL),Sr,"Jan 3, 2002",Murrieta (CA),Rancho Christian School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Dominick_zags20.jpg,7.0,"Murrieta, California",United States,Draft Eligible in 2026
GiCarri Harris,G,6-4,185,Purdue,So,"Aug 9, 2005",Grayson (GA),Grayson High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Gicarri_pur24.jpg,24.0,"Grayson, Georgia",United States / Mexico,Draft Eligible in 2028
Jaden Harris,G,6-4,187,Kennesaw State,Sr,-,Norcross (GA),Norcross High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Jaden_nmsu23.jpg,21.0,"Norcross, Georgia",United States,Draft Eligible in 2026
Jared Harris,G,6-2,178,Wyoming,So,-,Silsbee (TX),Silsbee High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Jared_mem24.jpg,9.0,"Silsbee, Texas",United States,Draft Eligible in 2028
Jayden Harris,G,6-7,189,Eastern Kentucky,So,-,Dumfries (VA),Massanutten Military Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Jayden_eku24.jpg,5.0,"Dumfries, Virginia",United States,Draft Eligible in 2028
Josh Harris,F,6-8,230,Indiana,So,"Sep 28, 2005",Pembroke Pines (FL),Pembroke Pines Charter High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Josh_nf24.jpg,10.0,"Pembroke Pines, Florida",United States,Draft Eligible in 2028
Josiah Harris,F,6-7,205,Cleveland State,Jr,-,Cleveland (OH),Richmond Heights High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Josiah_wvu22.jpg,22.0,"Cleveland, Ohio",United States,Draft Eligible in 2027
Josiah Harris,F,6-9,220,La Salle,Sr,-,New Castle (DE),William Penn Charter School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Josiah_stfb23.jpg,5.0,"New Castle, Delaware",United States,Draft Eligible in 2026
Juke Harris,SG,6-7,200,Wake Forest,So,"Jul 22, 2005",Salisbury (NC),Salisbury High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Juke_wf24.jpg,2.0,"Salisbury, North Carolina",United States,Draft Eligible in 2028
Marland Harris,FC,6-9,215,Morgan State,Sr,"Jun 21, 2001",Los Angeles (CA),Westchester High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Marland_mor24.jpg,7.0,"Los Angeles, California",United States,Draft Eligible in 2026
Sencire Harris,G,6-4,175,Cincinnati,Jr,"Sep 28, 2002",North Canton (OH),St. Vincent St. Mary High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Sencire_il22.jpg,5.0,"North Canton, Ohio",United States,Draft Eligible in 2027
Toby Harris,F,6-8,225,Iona,Sr,-,Durham (NC),Durham Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/186177.png,30.0,"Durham, North Carolina",United States,Draft Eligible in 2026
Truth Harris,G,6-2,180,La Salle,Sr,-,Mount Vernon (NY),Trinity-Pawling School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Truth_etsu20.jpg,4.0,"Mount Vernon, New York",United States,Draft Eligible in 2026
Tyler Harris,SF,6-7,202,Vanderbilt,Jr,"Feb 14, 2005",Richmond (CA),Granada High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harris_Tyler_por23.jpg,8.0,"Richmond, California",United States,Draft Eligible in 2027
DeShawn Harris-Smith,F,6-5,224,Georgetown,Jr,"Aug 10, 2004",Fairfax (VA),St. Paul VI High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harrissmith_Deshawn_md23.jpg,1.0,"Fairfax, Virginia",United States,Draft Eligible in 2027
Ahmad Harrison,PG,6-1,190,St. Francis (PA),Sr,-,Baltimore (MD),National Christian Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harrison_Ahmad_ford21.jpg,55.0,"Baltimore, Maryland",United States,Draft Eligible in 2026
Caleb Harrison,F,6-9,205,Samford,Fr,-,Huntsville (AL),Huntsville High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harrison_Caleb_sam24.jpg,23.0,"Huntsville, Alabama",United States,Draft Eligible in 2029
D'Andre Harrison,F,6-6,N/A,UMKC,Fr,-,Gilbert (AZ),Perry High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/210362.png,13.0,"Gilbert, Arizona",United States,Draft Eligible in 2029
Damoni Harrison,F,6-5,180,Charlotte,Sr,-,Atlanta (GA),Archer High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harrison_Damoni_soin24.jpg,10.0,"Atlanta, Georgia",United States,Draft Eligible in 2026
Henry Harrison,G,5-11,175,Winthrop,Jr,-,Lewisburg (PA),Lewisburg High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harrison_Henry_win23.jpg,22.0,"Lewisburg, Pennsylvania",United States,Draft Eligible in 2027
"Ronnie Harrison, Jr.",F,6-9,210,East Texas A&M,Jr,-,Shreveport (LA),Forney High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harrison_Ronnie_tar24.jpg,0.0,"Shreveport, Louisiana",United States,Draft Eligible in 2027
Jeremiah Harshman,G,6-1,168,Seattle,Fr,-,Tacoma (WA),Annie Wright High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harshman_Jeremiah_sea25.jpg,7.0,"Tacoma, Washington",United States,Draft Eligible in 2029
Carlos Hart,G,6-5,210,Eastern Michigan,Sr,-,Miami (FL),North Miami Beach High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hart_Carlos_uno23.jpg,2.0,"Miami, Florida",United States,Draft Eligible in 2026
Izzy Hart,G,6-3,164,Southern Mississippi,Sr,-,Midwest City (OK),Midwest City High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/192888.png,0.0,"Midwest City, Oklahoma",United States,Draft Eligible in 2026
Joey Hart,G,6-5,205,Ball State,So,-,Linton (IN),Linton-Stockton High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hart_Joey_uk23.jpg,20.0,"Linton, Indiana",United States,Draft Eligible in 2028
Naas Hart,F,6-10,180,La Salle,Fr,-,Edison (NJ),St. Thomas Aquinas High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hart_Naas_25.jpg,8.0,"Edison, New Jersey",United States,Draft Eligible in 2029
Jaxon Hartman,G,6-3,195,Mount St. Mary's,Jr,-,Staunton (VA),The Miller School of Albemarle,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hartman_Jaxon_mtstm24.jpg,6.0,"Staunton, Virginia",United States,Draft Eligible in 2027
Przemek Hartman,SF,6-9,216,Louisiana-Monroe,Fr,"Feb 26, 2007",Gdansk,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/219900.png,1.0,"Gdansk, Poland",Poland,Draft Eligible in 2029
Sebastian Hartmann,F,6-6,210,Chattanooga,Jr,"Sep 20, 2004",Munich,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hartmann_Sebastian_ewu23.jpg,2.0,"Munich, Germany",Germany,Draft Eligible in 2027
Keegan Harvey,C,6-11,230,Bryant,Sr,"Sep 5, 2001",Newcastle (NSW),Montverde Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harvey_Keegan_char20.jpg,14.0,"Newcastle, Australia",Australia,Draft Eligible in 2026
O'Marion Harvey,F,6-7,190,Monmouth,Fr,-,Cypress (TX),St. Francis Episcopal School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harvey_Omarion_mon25.jpg,8.0,"Cypress, Texas",United States,Draft Eligible in 2029
Zai Harwell,GF,6-6,200,Houston,Fr,"Jan 2, 2007",Pocatello (ID),Wasatch Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Harwell_Isiah_te25.jpg,1.0,"Pocatello, Idaho",United States,Draft Eligible in 2029
Aidan Haskins,F,6-8,210,Hampton,Fr,-,Washington (DC),Friendship Collegiate Academy Public Charter School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/251913.png,13.0,"Washington, District of Columbia",United States,Draft Eligible in 2029
Cade Haskins,F,6-6,220,William & Mary,Sr,-,Minneapolis (MN),De La Salle High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Haskins_Cade_dart21.jpg,1.0,"Minneapolis, Minnesota",United States,Draft Eligible in 2026
Dasear Haskins,F,6-8,200,Saint Joseph's,So,-,Willingboro (NJ),Camden High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Haskins_Dasear_stj23.jpg,7.0,"Willingboro, New Jersey",United States,Draft Eligible in 2028
Jayden Hastings,FC,6-9,240,Boston College,So,-,Orlando (FL),IMG Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hastings_Jayden_bc23.jpg,22.0,"Orlando, Florida",United States,Draft Eligible in 2028
Sebastian Haubro,C,6-10,N/A,Fairleigh Dickinson,Fr,-,Ballerup,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/238329.png,9.0,"Ballerup, Denmark",Denmark,Draft Eligible in 2029
Niyol Hauet,G,6-4,175,West Virginia,Fr,-,Yokohama,Ogden High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/239341.png,21.0,"Yokohama, Japan",Japan,Draft Eligible in 2029
Thomas Haugh,F,6-9,215,Florida,Jr,"Jul 7, 2003",New Oxford (PA),Perkiomen School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Haugh_Thomas_fl23.jpg,10.0,"New Oxford, Pennsylvania",United States,Draft Eligible in 2027
Kyle Haughy,GF,6-6,210,UC Santa Barbara,Jr,-,San Ramon (CA),San Ramon Valley High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/256210.png,6.0,"San Ramon, California",United States,Draft Eligible in 2027
Luke Haupt,F,6-7,215,New Mexico,Sr,-,San Diego (CA),St. Augustine High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/151457.png,3.0,"San Diego, California",United States,Draft Eligible in 2026
Braden Hausen,F,6-7,213,High Point,So,-,Amarillo (TX),Amarillo High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hausen_Braden_hp24.jpg,15.0,"Amarillo, Texas",United States,Draft Eligible in 2028
Brendan Hausen,G,6-4,205,Iowa,Sr,"Jul 6, 2004",Amarillo (TX),Amarillo High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hausen_Brendan_vil22.jpg,15.0,"Amarillo, Texas",United States,Draft Eligible in 2026
Rory Hawke,F,6-5,200,Saint Mary's,So,"Jan 14, 2004",Townsville (QLD),N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hawke_Rory_smc23.jpg,8.0,"Townsville, Australia",Australia,Draft Eligible in 2028
Alex Hawkins,G,6-4,190,Alcorn State,Jr,-,New Market (MD),Hargrave Military Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hawkins_Alex_alc25.jpg,10.0,"New Market, Maryland",United States,Draft Eligible in 2027
Caden Hawkins,G,6-0,175,Southern Illinois,Jr,-,Carterville (IL),Carterville High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hawkins_Caden_siu25.jpg,3.0,"Carterville, Illinois",United States,Draft Eligible in 2027
Colin Hawkins,G,6-3,N/A,Gardner-Webb,So,-,Colorado Springs (CO),Collegiate Prep Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Hawkins_Colin_gw24.jpg,23.0,"Colorado Springs, Colorado",United States,Draft Eligible in 2028
Isaac Hawkins,C,6-10,195,Utah Valley,Jr,-,Fort Mill (SC),N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/230809.png,23.0,"Fort Mill, South Carolina",United States,Draft Eligible in 2027
